generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1787857655-nMcga9IAIxt63plTYix8,2026-08-27 19:07:35.103,0.088045,,,0.044,0,16243,61322,61677,0,deepseek/deepseek-v4-flash-20260731,Reka,standard,false,true,,stop,stop,184747,910,,,OpenRouter: Chatroom
gen-1787814553-gsVgrHxAfBuGR6YdE09c,2026-08-27 07:09:13.461,0.282107,,-0.04816,,0,357435,104052,64593,155356,openai/gpt-5.6-luna-pro-20260709,OpenAI,standard,false,true,,completed,stop,425848,425707,,,OpenRouter: Chatroom
gen-1787814552-X9dbKuQr4VLUTxknOh66,2026-08-27 07:09:11.779,0,,,,0,0,0,0,0,openai/gpt-5.6-luna-pro-20260709,OpenAI,standard,false,true,,,,394154,393962,,,OpenRouter: Chatroom
gen-1787808286-OHII6KE9CVv7BA6HI9JB,2026-08-27 05:24:46.516,0.175827,,-0.279072,,0,110519,9819,2381,108800,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,stop,stop,274080,1970,,,OpenRouter: Chatroom
gen-1787808279-h9GWetY0BcByoSI1CWOC,2026-08-27 05:24:38.583,0.058733,0.014,-0.267909,,0,108804,179,113,104448,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,tool_calls,tool_calls,7028,2116,,,OpenRouter: Chatroom
gen-1787807907-pFEZG6oopjUmqGxyJo8u,2026-08-27 05:18:27.789,0.435528,,,,0,93477,11868,11806,0,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,tool_calls,tool_calls,369100,6385,,,OpenRouter: Chatroom
gen-1787807902-DZHtowSWt6FWnQ0Fmxja,2026-08-27 05:18:22.203,0,,,,0,0,0,0,0,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,,,646427,2,,,OpenRouter: Chatroom
gen-1787805613-qqi6IihRWgQCfMpSxFf9,2026-08-27 04:40:13.496,0.528293,,,,0,93436,18386,12794,0,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,stop,stop,498597,6727,,,OpenRouter: Chatroom
gen-1787805608-89FE838UJMVrDYIaajAB,2026-08-27 04:40:07.743,0,,,,0,0,0,0,0,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,,,491876,0,,,OpenRouter: Chatroom
gen-1787801950-57jF5tUzqVlm8R6o7C4r,2026-08-27 03:39:10.647,0.49391,,,,0,93447,15971,11972,0,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,stop,stop,455772,6566,,,OpenRouter: Chatroom
